Serial Number,Variant,Software Version
1405A248872110,Dichot,1.74

time_stamp;tmoAmbientPressure_0;tmoAmbientRH_0;tmoAmbientTemp_0;tmoDichotMC1Hr_0;tmoDichotMC24Hr_0;tmoDichotMC30MinStd_0;tmoStatusCondition_0;tmoTEOMAMC1Hr_0;tmoTEOMAMC24Hr_0;tmoTEOMAMC30Min_0;tmoTEOMBMC_0;tmoTEOMBMC1Hr_0;tmoTEOMBMC24Hr_0;tmoTEOMBMC30Min_0;
08 - Jul - 2022 01:00:00;0,99;48,289;24,604;0;0;;0;0;0;;;0;0;;
08 - Jul - 2022 02:00:01;0,99;56,562;24,835;1,31294;0;;0;0;0;;;1,31294;0;;
08 - Jul - 2022 03:00:00;0,989;45,086;24,143;14,3666;0;;0;13,9181;0;;;0,448489;0;;
08 - Jul - 2022 04:00:01;0,988;60,555;27,409;0;0;;0;0;0;;;0;0;;
08 - Jul - 2022 05:00:00;0,989;72,637;29,06;0;0;0;0;0;0;0;25,1651;0;0;0;
08 - Jul - 2022 06:00:01;0,99;65,519;30,65;0;0;24,1093;0;0;0;19,0287;5,81297;0;0;5,08061;
08 - Jul - 2022 07:00:01;0,988;64,498;31,38;3,64269;0;25,0976;0;0;0;21,711;3,58756;3,64269;0;3,38651;
08 - Jul - 2022 08:00:01;0,99;64,695;31,659;24,3611;0;24,9184;0;21,4435;0;21,9189;3,11208;2,91765;0;2,99945;
08 - Jul - 2022 09:00:01;0,992;65,077;31,819;22,2767;0;22,9044;0;18,697;0;19,216;3,71169;3,57964;0;3,68844;
08 - Jul - 2022 10:00:01;0,99;65,683;31,909;25,4752;0;25,9752;0;21,92;0;22,3036;3,80212;3,55518;0;3,67157;
08 - Jul - 2022 11:00:00;0,991;66,17;32,009;27,6568;0;27,962;0;23,6863;0;23,9824;4,12116;3,97052;0;3,97959;
08 - Jul - 2022 12:00:00;0,991;66,615;32,039;30,4787;0;30,7485;0;26,2742;0;26,4759;4,38942;4,20458;0;4,27251;
08 - Jul - 2022 13:00:00;0,992;67,07;32,129;32,6775;0;33,6653;0;27,9023;0;28,7578;5,09149;4,77523;0;4,90756;
08 - Jul - 2022 14:00:01;0,989;67,429;32,179;33,731;0;34,6908;0;28,9741;0;30,0454;4,83558;4,75681;0;4,64536;
08 - Jul - 2022 15:00:01;0,991;67,641;32,209;33,9852;0;34,5734;0;29,4552;0;29,9438;4,7807;4,52995;0;4,62962;
08 - Jul - 2022 16:00:01;0,99;67,818;32,239;33,8128;0;34,1206;0;29,3619;0;29,6688;4,61143;4,45093;0;4,45177;
08 - Jul - 2022 17:00:00;0,99;67,903;32,229;30,995;0;30,1524;134217728;27,0852;0;26,3535;3,94956;3,9098;0;3,79896;
08 - Jul - 2022 18:00:00;0,988;67,796;32,289;27,2518;0;26,3815;134217728;23,7664;0;22,9894;3,53886;3,48538;0;3,39215;
08 - Jul - 2022 19:00:01;0,992;67,714;32,309;29,8827;0;31,6983;134217728;25,9146;0;27,5237;4,28059;3,96811;0;4,17453;
08 - Jul - 2022 20:00:01;0,992;67,658;32,309;34,5687;0;35,5361;134217728;30,1541;0;30,8982;4,82809;4,41458;0;4,63795;
08 - Jul - 2022 21:00:01;0,992;67,687;32,319;37,4322;0;38,2254;134217728;32,4335;0;33,0248;5,3514;4,99869;0;5,20061;
08 - Jul - 2022 22:00:00;0,992;67,689;32,329;37,2128;0;37,3817;134217728;32,0158;0;32,1392;5,44233;5,19703;0;5,24253;
08 - Jul - 2022 23:00:01;0,994;67,958;32,369;72,9932;0;108,948;134217728;31,791;0;32,2421;91,9602;41,2022;0;76,7061;
09 - Jul - 2022 00:00:01;0,992;67,76;32,399;52,9766;0;39,6509;134217728;27,9795;0;26,308;16,6855;24,9971;0;13,3429;
09 - Jul - 2022 01:00:00;0,992;67,62;32,429;32,9824;0;31,3359;134217728;25,483;0;25,0179;6,86521;7,4994;0;6,31799;
09 - Jul - 2022 02:00:00;0,99;67,527;32,379;31,4526;0;29,95;134217728;25,9149;0;24,7595;5,4788;5,53766;0;5,19049;
09 - Jul - 2022 03:00:01;0,992;67,346;32,369;26,6317;0;25,1254;134217728;22,0491;0;20,6749;4,6248;4,58257;0;4,45051;
09 - Jul - 2022 04:00:01;0,99;67,087;32,389;24,1496;0;24,7234;134217728;20,0467;0;20,7599;4,14659;4,10281;0;3,96346;
09 - Jul - 2022 05:00:01;0,99;66,919;32,429;23,0195;0;22,36;134217728;19,6554;0;19,179;3,32403;3,36416;0;3,18097;
09 - Jul - 2022 06:00:01;0,99;66,699;32,509;23,0118;6,70149;23,4469;134217728;19,8187;0;20,1635;3,39256;3,19312;6,70149;3,28344;
09 - Jul - 2022 07:00:01;0,99;66,297;32,559;26,1538;32,2987;26,0553;134217728;21,2422;25,5444;21,6282;4,64758;4,91165;6,75437;4,42716;
09 - Jul - 2022 08:00:00;0,99;66,128;32,599;27,032;32,41;27,2408;134217728;22,7674;25,5995;22,9161;4,51098;4,26455;6,81049;4,32474;
09 - Jul - 2022 09:00:01;0,991;66,132;32,619;29,3402;32,7043;29,8384;134217728;24,6246;25,8465;25,0792;4,95143;4,7156;6,85782;4,75915;
09 - Jul - 2022 10:00:00;0,991;66,225;32,649;30,1354;32,8985;30,38;134217728;25,3971;25,9914;25,5275;5,01332;4,73829;6,90711;4,85244;
09 - Jul - 2022 11:00:00;0,992;66,258;32,669;29,7794;32,9869;29,2694;134217728;25,0253;26,0472;24,4735;5,00572;4,75412;6,93976;4,79593;
